user_id,recommended_item_id,predicted_score
861299,263258,1
861299,317192,1
861299,244458,1
861299,400077,1
861299,102471,1
548772,91152,1
548772,261589,1
994820,188051,1
994820,188051,1
994820,455183,1
994820,442725,1
863219,222888,1
863219,164344,1
863219,119736,1
557700,111530,1
286616,268081,1
286616,46232,1
286616,318333,1
286616,418560,1
530559,235559,1
530559,355994,1
530559,248455,1
530559,330469,1
530559,91888,1
705542,179601,1
705542,338660,1
705542,204057,1
705542,176162,1
705542,354585,1
1385073,9877,1
1385073,272324,1
1385073,119736,1
1385073,58638,1
1385073,265113,1
347598,206218,1
76757,118914,1
76757,37029,1
76757,414654,1
76757,442131,1
76757,11311,1
1093035,260256,1
1093035,448494,1
1093035,119736,1
247235,248455,1
247235,190000,1
247235,37029,1
247235,282385,1
247235,91152,1
53842,409804,1
53842,315543,1
248679,340960,1
248679,119736,1
248679,183511,1
964794,465751,1
964794,222888,1
186927,275580,1
645525,546,1
645525,79378,1
645525,248455,1
757355,372188,1
757355,43267,1
757355,445351,1
757355,177257,1
218828,283115,1
371606,219512,1
371606,29757,1
371606,186702,1
371606,29940,1
371606,161623,1
750601,301721,1
750601,165169,1
750601,302242,1
138131,231482,1
138131,318333,1
138131,399592,1
138131,244458,1
138131,130113,1
1297062,215868,1
1297062,210002,1
1297062,210002,1
1297062,268883,1
1297062,78729,1
952246,288525,1
952246,119736,1
952246,46156,1
952246,272907,1
952246,167543,1
430913,414654,1
686854,76121,1
686854,76121,1
686854,19278,1
1143383,208939,1
1143383,48030,1
1143383,218626,1
1352334,432171,1
1352334,269773,1
1352334,269773,1
768946,334401,1
283477,334401,1
1168431,109663,1
1168431,109663,1
1150086,73311,1
1150086,166306,1
1150086,190000,1
1150086,441852,1
1150086,310944,1
896347,54698,1
896347,459475,1
1116948,32581,1
1116948,35202,1
1116948,325852,1
1116948,466109,1
1161163,399592,1
1161163,461686,1
1161163,340375,1
1161163,119736,1
1161163,113440,1
438780,228644,1
1296635,178498,1
1126569,27020,1
1126569,355393,1
890980,5470,1
890980,35202,1
890980,217605,1
890980,179601,1
890980,445351,1
438441,389814,1
438441,283115,1
379058,140527,1
350566,82232,1
350566,361554,1
350566,51354,1
582933,432357,1
582933,259357,1
582933,66480,1
582933,11279,1
198270,319602,1
198270,355393,1
198270,325310,1
198270,29757,1
809822,369447,1
809822,232172,1
809822,396732,1
1398978,8015,1
1398978,38083,1
1167457,216266,1
1167457,410587,1
152963,247601,1
152963,119736,1
152963,187934,1
152963,248455,1
152963,115258,1
660393,224549,1
660393,224549,1
660393,224549,1
1061238,384302,1
765900,213834,1
222046,109583,1
684514,255725,1
684514,257575,1
684514,303833,1
684514,457045,1
684514,206241,1
404403,85579,1
404403,272813,1
1293358,398489,1
1293358,234255,1
1293358,190000,1
1293358,138427,1
1293358,445351,1
542702,96233,1
962131,275625,1
962131,130815,1
962131,346088,1
1075423,12217,1
1075423,166306,1
1075423,369158,1
1075423,167543,1
683901,266553,1
683901,208939,1
109357,120098,1
748040,389135,1
824842,274435,1
824842,183756,1
824842,56782,1
824842,65273,1
163561,260256,1
163561,344071,1
1031663,10572,1
155086,320130,1
1015139,44465,1
895999,29757,1
895999,46156,1
764790,402462,1
1172087,143860,1
1172087,312728,1
1172087,312728,1
198153,51483,1
836635,17478,1
836635,217278,1
836635,303828,1
358516,149253,1
892355,171814,1
519839,449391,1
569539,119736,1
569539,198784,1
569539,384157,1
569539,357650,1
569539,350384,1
761482,389158,1
761482,256146,1
537639,76196,1
537639,76196,1
537639,76196,1
273406,410587,1
273406,120098,1
273406,124065,1
595640,248455,1
595640,248455,1
173863,174489,1
173863,461686,1
173863,268755,1
173863,32581,1
173863,360922,1
547506,119736,1
829289,285055,1
829289,119736,1
475479,56782,1
475479,444931,1
303381,78268,1
303381,384157,1
303381,312728,1
896066,176484,1
279406,442131,1
171718,172894,1
171718,172894,1
797409,390934,1
797409,119736,1
384126,190534,1
227091,260609,1
227091,23762,1
974226,279316,1
974226,151471,1
168685,111530,1
17476,382130,1
1164713,303229,1
174972,337327,1
174972,424193,1
1042112,272649,1
1042112,334401,1
1108631,388974,1
1108631,449489,1
1365706,365889,1
175801,414654,1
175801,37029,1
895733,132633,1
895733,132633,1
615132,19545,1
686012,119736,1
686012,337327,1
1171630,388673,1
1171630,222888,1
214479,122604,1
935325,268755,1
935325,63543,1
953371,277943,1
899857,400946,1
899857,232172,1
1185234,409804,1
371604,259078,1
371604,384470,1
371604,340375,1
371604,206241,1
868541,442725,1
101175,234215,1
101175,234215,1
996879,458637,1
548918,288525,1
548918,264297,1
389532,244458,1
57905,178274,1
57905,338395,1
57905,428257,1
57905,292444,1
144849,332078,1
503857,36864,1
565903,67889,1
1035814,365015,1
1035814,151178,1
1020024,396042,1
416496,143860,1
529925,390934,1
1165148,42002,1
80204,234215,1
477826,223003,1
477826,345279,1
846763,10572,1
1144857,130113,1
765630,220513,1
1210136,1684,1
316850,267236,1
316850,248455,1
883745,373842,1
918651,111530,1
536804,406071,1
1351796,62275,1
457547,57389,1
518659,428891,1
518659,280328,1
518659,28789,1
1309591,430292,1
841939,369158,1
170470,369447,1
1145382,365015,1
